Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,11284359,"Group 305","2023-12-10 18:09:25",0.7275,193,"awpart,joonashalinen,olga305"
2,11260548,"Team 318","2023-12-10 09:15:14",0.7208,50,"andrewhanynady,anssirajala"
3,11258407,"Group 16","2023-12-10 16:32:43",0.7207,63,"dominikkuczkowski,drgary,karlzhu9981"
4,11259521,"Group 304","2023-12-10 17:22:04",0.7198,124,"alexpohjanpelto,andrmadaleno,tonikansanoja"
5,11235902,"Group 61","2023-12-10 13:41:52",0.7185,14,topiasharjunp
6,11279999,"Group 4","2023-12-10 20:07:33",0.7176,43,marioja
7,11229465,"Group 111","2023-12-10 13:51:02",0.7171,153,"juhoeagling,samulinappi"
8,11231898,"Group 101","2023-12-10 12:40:16",0.7167,102,jonimarkus
9,11373315,"Group 99","2023-12-09 17:56:43",0.7154,111,"nanqingjing,thyang007,yangyancy"
10,11231739,"Group 302","2023-12-10 12:30:57",0.7150,69,"elvagranados,mikkoihasalo,ronikoitermaa"
11,11269579,CiaoCiaorita,"2023-12-10 18:33:34",0.7135,12,multequilibria
12,11368498,"Group 2","2023-12-10 17:50:53",0.7122,127,"henryscottblue,jessehantula,joelpietilinen"
13,11229323,group308,"2023-12-10 13:01:29",0.7115,26,"swarnaleem,tapanih,vesalouhelainen"
14,11236602,"Group 220","2023-12-10 09:51:09",0.7109,18,triluu03
15,11325738,"Group 41","2023-12-10 13:39:40",0.7105,42,"bentrotter14,dikshamanupriya,sarascully"
16,11258700,"Group 229","2023-12-09 16:49:48",0.7105,7,jusamankki
17,11231054,"Group 105","2023-12-10 14:49:05",0.7101,100,"i0leet,jiashuu,yuxuanbai"
18,11368431,"Group 112","2023-12-10 21:12:43",0.7094,1,ileppae
19,11256250,"Team 62","2023-12-09 17:42:20",0.7075,29,"phuongtruong,tommyle133,yaqoubb"
20,11245022,"Group 314","2023-12-09 18:12:49",0.7072,5,"mirasalmensaari,pyrypeltoniemi"
21,11295250,"Group 3","2023-12-10 21:50:37",0.7070,97,"arttuleht,rikubrandt"
22,11303344,Neronium,"2023-12-10 12:20:43",0.7067,39,neronium
23,11248293,"Group 98","2023-12-10 19:55:36",0.7054,201,"mudongguo,programmerandychen,sanishgurung"
24,11231346,"Group 66","2023-12-10 16:39:27",0.7007,24,"ahsanabbasuh,zengmeiyan"
25,11254217,"Group 303","2023-12-07 23:00:09",0.6977,68,"maxvdata,valtteritulppala,zhangxiyuanchloe"
26,11377395,"Group 72","2023-12-10 20:24:09",0.6974,22,"aleksihuotalahy,laukau"
27,11326917,"Group 401","2023-12-10 16:10:45",0.6971,38,joukoarkko
28,11351634,"Group 86","2023-12-08 15:31:37",0.6953,20,"aatukallio,hitomabu,mattimcgill"
29,11312937,"Group 11","2023-12-09 13:24:40",0.6948,4,anttihartikka
30,11236515,"Group 22","2023-12-08 13:07:56",0.6946,46,"elemiii,meowmio,xiaoyuyuan19"
31,11277992,"Group 93","2023-12-09 14:54:24",0.6893,143,"andreastirkkonen,leonoda,rasnils"
32,11275001,"Group 310","2023-12-10 20:04:01",0.6893,35,"mattiventonen,miikap"
33,11287135,"Group 47","2023-12-10 15:22:51",0.6892,9,"murskaaja,suskim"
34,11248601,"Group 110","2023-12-09 21:15:12",0.6889,42,tonirm
35,11300830,"Group 410","2023-12-10 15:41:46",0.6888,40,eskoarajrvi
36,11232157,"Group 100","2023-12-01 14:13:49",0.6877,5,"wilfredwoo,yussufahmed"
37,11337319,Group84,"2023-12-10 21:18:02",0.6874,9,"esapietarinen,panukuhlberg"
38,11271785,"Group 311","2023-12-10 18:27:43",0.6865,20,"anttikosonen,antwanhommy,hannwww"
39,11235343,"Group 307","2023-12-08 18:03:29",0.6865,31,"henrikowm,iisakki,urvisharma01"
40,11265890,"Group 406","2023-12-10 21:21:07",0.6863,13,bastienguillemare
41,11368904,"Group 268","2023-12-10 14:10:51",0.6858,26,teemunrhi
42,11277634,"Group 212","2023-12-07 16:39:31",0.6848,1,montypythonscircus
43,11339518,"Group 226","2023-12-10 06:17:23",0.6835,57,jonathanheyno
44,11290205,317,"2023-12-09 22:21:15",0.6831,40,"darinamironova,ewedwards,heidilaitinen"
45,11260670,"Group 67","2023-12-10 20:45:35",0.6829,16,"antonbogun,hibikiito,reettahimanka"
46,11303461,"Derivative Of Log X","2023-11-26 12:35:46",0.6826,1,derivativeoflogx
47,11249733,"Group 114","2023-12-10 20:46:55",0.6803,37,jaakkovir
48,11284315,"Group 169","2023-12-09 16:17:28",0.6800,35,"lennuvuolanne,riikkakorolainen,sallamari"
49,11302991,"Group 425","2023-12-10 14:35:09",0.6783,3,petterihallipelto
50,11320526,"group 426","2023-12-08 16:23:40",0.6783,6,pietielonkirjo
51,11253975,"Group 42","2023-12-09 19:11:45",0.6774,20,panagiotisanastasaki
52,11262880,"Group 21","2023-12-09 15:28:07",0.6762,5,topiaspesonen
53,11235442,"Group 90","2023-12-08 13:22:07",0.6757,29,"annaw2,jannetveija,laurasalonen"
54,11229328,"Group 88","2023-12-08 19:50:41",0.6750,19,kryolzh
55,11247796,"Group 115","2023-12-10 12:38:00",0.6744,26,"feda23,luukasnik,nettakarjalainen"
56,11294601,"Group 312","2023-12-09 16:14:20",0.6729,9,"samusyrjanen,tatulinnala,thofriberg"
57,11373290,"Group 435","2023-12-10 21:56:40",0.6728,21,annakuokkanen
58,11292383,"Group 313","2023-12-10 12:59:13",0.6719,1,"reimakuosmanen,rtammisalo"
59,11254692,"Group 68","2023-12-10 21:40:39",0.6705,14,jmlii1
60,11340481,"Group 316","2023-12-10 17:03:26",0.6702,40,"hossam3,jannetuukkanen,valtteriluodemki"
61,11376636,"Group 52","2023-12-10 18:12:20",0.6700,7,jespergronroos
62,11258764,"Group 144","2023-12-10 17:36:40",0.6697,28,"helmik,jannepenttala,maijasis"
63,11258489,"Group 306","2023-12-10 15:13:22",0.6693,5,"jessicakoski,jiiuualiiaa,jjuliia"
64,11371147,"Karoliina Mietola","2023-12-10 20:55:11",0.6690,3,karoliinamietola
65,11244221,"Group # 38","2023-12-09 16:51:05",0.6685,19,annakangasmaa
66,11272128,"group 78","2023-12-10 21:31:39",0.6684,14,susanrissanen
67,11252930,"Group 71","2023-12-10 18:30:10",0.6682,35,"farwasiddiqui326b,linsengao92,noorulain207"
68,11231233,"Group 309","2023-12-10 12:59:32",0.6675,15,"mikelee96,nikokurki,pontushedlund"
69,11285242,"Group 82","2023-12-10 17:44:16",0.6662,47,"florian562,lukwalter"
70,11296549,315,"2023-12-10 09:57:18",0.6655,16,"juhalehtinen,jussiasp,kalpa75"
71,11272870,"Group 405","2023-11-26 20:54:38",0.6641,2,anttileikas
72,11365171,"Group 411","2023-12-10 17:25:48",0.6638,7,ghaidaazzahra
73,11324120,"Maija Alasentie","2023-12-05 07:55:20",0.6637,3,maijaalasentie
74,11294101,"Group 7","2023-12-01 15:42:34",0.6622,5,"eevibengs,juhatk,marinellalaaksonen"
75,11376745,"Group 200","2023-12-10 21:45:29",0.6617,3,sieluton
76,11264904,"Vesa Vilhonen","2023-12-10 21:34:54",0.6608,31,vvilhonen
77,11279188,"Group 42-2","2023-12-02 17:01:09",0.6597,10,estebanhelsinki
78,11344374,"Group 69","2023-12-06 09:59:51",0.6594,36,"emmalaasonen,jarkkoylikantola"
79,11363109,"Group 123","2023-12-10 19:37:36",0.6588,10,artemlopatenko
80,11273070,"Group 230","2023-12-10 00:47:37",0.6586,7,jukedude
81,11322150,74,"2023-12-10 16:42:32",0.6565,27,markuskononen
82,11325119,"Team 54","2023-12-10 11:36:25",0.6551,55,"alexi54,annamilieva"
83,11278008,"Group 140","2023-12-10 04:22:17",0.6547,11,"axelww,chenseanxy,kroderik"
84,11364345,"Group 416","2023-12-08 11:00:42",0.6537,4,johannestynjala
85,11248732,"Group 301","2023-12-07 11:56:05",0.6522,11,"rebeccapirnes,thacienneuwimana,villekortesalmi"
86,11258736,"Laura Ruuska","2023-12-10 13:14:02",0.6444,2,lauraruuska
87,11357254,"Adam Kit","2023-12-09 21:51:26",0.6400,3,adamkit
88,11370610,"Group 428","2023-12-10 21:48:35",0.6337,11,rubendrayton
89,11268575,"Group 256","2023-12-10 18:44:36",0.6028,2,jeremustonen
90,11253658,"Group 70","2023-12-10 21:37:51",-1.4567,117,"borna6,kozheentaheresa,matiastamsi"
91,11261281,LottaH,"2023-12-10 21:50:27",-1.5895,2,lottah
92,11343714,"Hasib Ahmad #2","2023-12-10 12:38:38",-3.2338,2,hasibahmad
93,11244231,"Group 208","2023-12-10 17:32:11",-3.2343,15,petterihuvio
94,11370256,"Group 37","2023-12-10 21:34:54",-3.2349,1,maijao
95,11376551,"Antti Ollikkala","2023-12-10 17:03:02",-3.6191,2,anttiollikkala
96,11263029,"Tuula Miettinen","2023-12-10 17:45:56",-8.6456,1,tuulam
97,11337762,"Group 127","2023-12-10 08:26:35",-8.8356,2,ronjapahaoja
98,11362685,"Moontasir Soumik","2023-12-10 19:46:32",-13.9611,2,moontasirsoumik
99,11374010,"Albert Linjama","2023-12-10 21:52:08",-115.2896,3,albertlinjama
